Diseases,OTC1,OTC2,OTC3,OTC4
Muscle Stiffness,"Epsom Salt Bath

Dose to Take: Add 2 cups of Epsom salt to warm bath water and soak for 15-20 minutes.
Alternate Medicines:
Magnesium Oil Spray – Spray directly onto affected muscles for relief.
Menthol Creams (e.g., Biofreeze) – Apply 2-3 times a day.","Ibuprofen (Advil)

Dose to Take: Take 1-2 tablets (200-400 mg) every 4-6 hours, as needed.
Alternate Medicines:
Turmeric or Curcumin Supplements – Take 500-1000 mg daily.
Acupressure – Apply gentle pressure to muscle groups for relaxation.","Topical Arnica Gel

Dose to Take: Apply 1-2 times daily to affected areas for pain relief.
Alternate Medicines:
CBD Cream – Apply to stiff muscles for relaxation.
Heat Therapy – Apply a heating pad for muscle relaxation.","Hot/Cold Compress

Dose to Take: Apply to affected areas for 15-20 minutes to relieve stiffness.
Alternate Medicines:
Stretching – Perform gentle stretches to improve flexibility.
Massage – Gently massage stiff muscles to improve circulation."
Muscular Cramps,"Magnesium Supplements

Dose to Take: 200-400 mg per day to prevent cramps.
Alternate Medicines:
Banana or Potassium-Rich Foods – Increase intake of potassium to prevent cramps.
Epsom Salt Bath – Soak in a warm bath with 2 cups of Epsom salt.","Heat Pad or Heating Wrap

Dose to Take: Apply to the affected area for 20-30 minutes.
Alternate Medicines:
Menthol Cream (e.g., Bengay, Icy Hot) – Apply to relax muscles.
Stretching – Perform stretches targeting the cramped muscles.","Muscle Relaxants (Over-the-Counter)

Dose to Take: Follow package directions for dosage.
Alternate Medicines:
Chamomile Tea – Drink to help with muscle relaxation.
Ginger Tea – Drink to soothe muscles and reduce cramps.","Hydration and Electrolyte Drinks

Dose to Take: Drink water or sports drinks to replenish lost electrolytes.
Alternate Medicines:
Coconut Water – Drink to rehydrate and restore potassium levels.
Lemon Water with Salt – A natural way to replenish electrolytes."
Nail Fungus (Toenail),"Antifungal Cream (e.g., Lamisil, Lotrimin)

Dose to Take: Apply to the affected area once or twice daily.
Alternate Medicines:
Tea Tree Oil – Apply 1-2 drops directly to the affected nail daily.
Vicks VapoRub – Apply a thin layer to the affected area twice daily.","Nail Fungus Antifungal Nail Polish (e.g., Penlac)

Dose to Take: Apply to affected nails daily as directed.
Alternate Medicines:
Garlic Oil – Apply a few drops to the affected area for its antifungal properties.
Apple Cider Vinegar – Soak the nails for 15-20 minutes daily.","Hydrogen Peroxide (3%)

Dose to Take: Soak the affected nail in diluted hydrogen peroxide for 5-10 minutes daily.
Alternate Medicines:
Vinegar Soak – Soak toenails in a mixture of vinegar and water.
Lavender Oil – Apply 2-3 drops to the affected nails daily.","Vicks VapoRub

Dose to Take: Apply a thin layer to the affected area twice daily.
Alternate Medicines:
Oregano Oil – Apply a small amount to the affected nail 1-2 times a day.
Coconut Oil – Massage into the nail for its antifungal effects."
Nasal Congestion,"Nasal Decongestant Sprays (e.g., Afrin)

Dose to Take: Use as directed, typically 1-2 sprays per nostril up to twice daily.
Alternate Medicines:
Saline Nasal Spray – Use to moisturize and clear congestion.
Mentholated Rub (e.g., Vicks VapoRub) – Apply to chest and under nose for relief.","Pseudoephedrine (Sudafed)

Dose to Take: 1 tablet (30 mg) every 4-6 hours, as needed.
Alternate Medicines:
Steam Inhalation – Inhale steam from hot water with eucalyptus oil.
Peppermint Tea – Drink to help reduce congestion.","Antihistamine (e.g., Claritin)

Dose to Take: Take 1 tablet (10 mg) once a day.
Alternate Medicines:
Nasal Irrigation – Use a Neti Pot with saline solution to flush out mucus.
Caffeine – Drink tea or coffee to help open nasal passages.","Eucalyptus Oil Inhalation

Dose to Take: Inhale steam with a few drops of eucalyptus oil or use a diffuser.
Alternate Medicines:
Hot Shower – The steam can help clear nasal passages.
Cinnamon Tea – Drink to reduce nasal inflammation."
Nausea After Eating,"Antacids (e.g., Tums, Rolaids)

Dose to Take: Take 2-4 tablets after meals for heartburn or indigestion.
Alternate Medicines:
Ginger Capsules – Take 500-1000 mg after meals to alleviate nausea.
Peppermint Tea – Drink a cup after meals to soothe nausea.","Simethicone (Gas-X)

Dose to Take: 1-2 softgels after meals as needed.
Alternate Medicines:
Activated Charcoal – Take 1-2 capsules after eating.
Loperamide (Imodium) – Take as directed to manage digestive upset.","Pepcid AC (Famotidine)

Dose to Take: 1 tablet (10-20 mg) before meals to reduce acid reflux-related nausea.
Alternate Medicines:
Antihistamines (e.g., Meclizine) – Take 25 mg for nausea relief.
Bismuth Subsalicylate (Pepto-Bismol) – Take 1-2 tablets after meals for nausea.","Probiotics (e.g., Culturelle)

Dose to Take: Take 1 capsule daily to improve digestion and reduce nausea.
Alternate Medicines:
Ginger Tea – Drink a cup to soothe the stomach.
Apple Cider Vinegar – Drink 1-2 teaspoons diluted in water before meals."
Nausea During Travel,"Dimenhydrinate (Dramamine)

Dose to Take: 1-2 tablets (50-100 mg) every 4-6 hours as needed. Maximum 400 mg/day.
Alternate Medicines:
Meclizine (Bonine) – Take 1 tablet (25-50 mg) 1 hour before travel.
Ginger Supplements – Take 500 mg of ginger extract 30 minutes before traveling.","Diphenhydramine (Benadryl)

Dose to Take: 25-50 mg every 4-6 hours as needed.
Alternate Medicines:
Sea-Bands (Acupressure) – Wear on wrists to reduce nausea.
Pepto-Bismol – Take 1-2 tablets or 15 mL as needed.","Cyclizine (Marezine)

Dose to Take: Take 1 tablet (50 mg) every 4-6 hours as needed.
Alternate Medicines:
Peppermint Oil Capsules – Take 1 capsule before travel.
Lorazepam (Ativan) – Take 0.5 mg to 1 mg for anxiety-related nausea (only if prescribed).","Ginger Chews

Dose to Take: Chew 2-3 pieces before and during travel for nausea relief.
Alternate Medicines:
Fennel Seeds – Chew a small amount to help with nausea.
Lemon Balm Tea – Drink 1-2 cups to soothe the stomach."
Neck Pain,"Ibuprofen (Advil, Motrin)

Dose to Take: 1-2 tablets (200-400 mg) every 4-6 hours. Maximum 1200 mg/day.
Alternate Medicines:
Acetaminophen (Tylenol) – Take 1-2 tablets (500-1000 mg) every 4-6 hours.
Topical Menthol Cream (Biofreeze) – Apply to the affected area 2-3 times a day.","Naproxen (Aleve)

Dose to Take: 1 tablet (220 mg) every 8-12 hours. Maximum 660 mg/day.
Alternate Medicines:
Capsaicin Cream – Apply to the affected area 2-3 times a day.
Chiropractic Care – Seek manual therapy for relief.","Muscle Relaxants (Methocarbamol)

Dose to Take: 1 tablet (750 mg) 3-4 times a day.
Alternate Medicines:
Magnesium Supplements – Take 200-400 mg per day for muscle relaxation.
Epsom Salt Bath – Soak in warm water with Epsom salts for relief.","Arnica Gel

Dose to Take: Apply a thin layer to the affected area 2-3 times a day.
Alternate Medicines:
TENS Unit – Use for muscle pain relief via electrical stimulation.
Cayenne Pepper Cream – Apply to sore muscles for relief."
Neck Stiffness After Sleep,"Heat Pad

Dose to Take: Apply heat to the neck for 15-20 minutes, 2-3 times a day.
Alternate Medicines:
Neck Massager – Use for 15-20 minutes to relieve tightness.
Topical Pain Relief Cream (Biofreeze) – Apply to the neck as needed.","Ibuprofen (Advil)

Dose to Take: 1-2 tablets (200-400 mg) every 4-6 hours for inflammation.
Alternate Medicines:
Acetaminophen (Tylenol) – Take 500-1000 mg as needed.
Stretching – Perform gentle neck stretches every 30 minutes.","Magnesium Supplements

Dose to Take: 200-400 mg per day.
Alternate Medicines:
Arnica Gel – Apply to the neck for pain relief.
Aromatherapy (Lavender Oil) – Use essential oils for relaxation.","Cervical Collar (Neck Brace)

Dose to Take: Wear during sleep or during the day for support.
Alternate Medicines:
TENS Unit – Use to relieve muscle tension and stiffness.
Peppermint Oil – Apply a diluted solution for relaxation."
Neck Stiffness from Sleeping Wrong,"Heat Pad

Dose to Take: Apply heat for 15-20 minutes to relax the muscles.
Alternate Medicines:
Ice Pack – Apply ice for 10-15 minutes to reduce inflammation.
Massage – Gently massage the neck area for relief.","Acetaminophen (Tylenol)

Dose to Take: 500-1000 mg every 4-6 hours.
Alternate Medicines:
Ibuprofen (Advil) – Take 200-400 mg every 4-6 hours.
Magnesium – Take 200-400 mg to relax muscles.","Epsom Salt Bath

Dose to Take: Add 1-2 cups to warm bath water and soak for 15-20 minutes.
Alternate Medicines:
Stretching – Gently stretch the neck muscles.
Cervical Pillow – Use for better alignment during sleep.","Arnica Gel

Dose to Take: Apply to the affected area 2-3 times a day.
Alternate Medicines:
Peppermint Oil – Apply to the neck to relieve tightness.
Topical Creams – Such as Bengay for muscle relief."
Neuralgia (Minor),"Ibuprofen (Advil)

Dose to Take: 200-400 mg every 4-6 hours.
Alternate Medicines:
Acetaminophen (Tylenol) – Take 500-1000 mg as needed.
Topical Lidocaine Patches – Apply to the affected area for relief.","Capsaicin Cream

Dose to Take: Apply to the affected area 3-4 times a day.
Alternate Medicines:
Menthol Gel – Apply to relieve nerve pain.
Magnesium Supplements – Take 200-400 mg for muscle and nerve support.","Gabapentin (Neurontin)

Dose to Take: Take 100-300 mg 3 times a day (consult a doctor before use).
Alternate Medicines:
Tricyclic Antidepressants (Amitriptyline) – Used for nerve pain (consult a doctor).
Alpha-Lipoic Acid – Take as a supplement to support nerve health.","Acupressure (Pressure Points)

Dose to Take: Apply pressure to specific points on the body (consult a practitioner).
Alternate Medicines:
Hot/Cold Compress – Apply alternating heat and cold to the area.
Biofreeze – Apply to the affected area for nerve pain relief."
Night Sweats,"Black Cohosh Supplements

Dose to Take: Take 40-80 mg daily.
Alternate Medicines:
Sage Tea – Drink 1-2 cups daily to reduce sweating.
Soy Isoflavones – Take 40 mg daily for hormone balance.","Antiperspirants (Certain Dri)

Dose to Take: Apply at night before bed to areas prone to sweating.
Alternate Medicines:
Witch Hazel – Apply topically to help control sweat.
Tepid Baths – Take lukewarm baths to cool the body and reduce sweating.","Magnesium Supplements

Dose to Take: Take 200-400 mg per day before bedtime.
Alternate Medicines:
Vitamin E – Take 400 IU daily to help with hormonal imbalances.
Lavender Oil – Use essential oils in a diffuser for calming effects before sleep.","Hormonal Therapy (Consult Doctor)

Dose to Take: Consult with a doctor for a prescription based on symptoms.
Alternate Medicines:
Melatonin Supplements – Take 1-3 mg to regulate sleep patterns.
Chasteberry Supplements – Take 400 mg for hormone regulation."
Nosebleeds,"Saline Nasal Spray

Dose to Take: Use 1-2 sprays per nostril as needed.
Alternate Medicines:
Nasal Gel (Hydrasense) – Apply a thin layer inside the nostrils to moisten dry nasal passages.
Humidifier – Use in your bedroom to keep the air moist and prevent nosebleeds.","Petroleum Jelly

Dose to Take: Apply a small amount inside the nostrils using a cotton swab.
Alternate Medicines:
Aloe Vera Gel – Apply inside the nostrils to soothe the mucous membranes.
Vitamin E Oil – Use a few drops to moisturize the inside of the nose.","Afrin (Oxymetazoline) Nasal Spray

Dose to Take: Use 1-2 sprays per nostril for up to 3 days.
Alternate Medicines:
Corticosteroid Nasal Spray – Use daily as prescribed by a doctor to reduce inflammation.
Cold Compress – Apply to the nose area for 10-15 minutes to reduce bleeding.","Cold Compress

Dose to Take: Apply a cold compress to the back of the neck or forehead for 10-15 minutes.
Alternate Medicines:
Ice Pack – Apply directly to the nose for a few minutes to constrict blood vessels.
Hydration – Drink plenty of water to keep the body hydrated and reduce nosebleeds."
Obesity,"Garcinia Cambogia Supplements

Dose to Take: Take 500-1000 mg before meals.
Alternate Medicines:
Green Tea Extract – Take 500-1000 mg for weight management.
Conjugated Linoleic Acid (CLA) – Take 1-3 grams per day to support fat loss.","Orlistat (Alli)

Dose to Take: Take 1 capsule (60 mg) with each meal containing fat.
Alternate Medicines:
Fiber Supplements (Metamucil) – Take 1-2 teaspoons daily for appetite control.
Caffeine – Take moderate doses to boost metabolism (consult a doctor before use)","Apple Cider Vinegar

Dose to Take: Drink 1-2 tablespoons diluted in water before meals.
Alternate Medicines:
Green Coffee Bean Extract – Take 400-800 mg daily before meals.
Probiotics – Take a daily dose of probiotics to help with digestion.","CLA (Conjugated Linoleic Acid)

Dose to Take: Take 3 grams per day.
Alternate Medicines:
Green Tea Extract – Take 500-1000 mg daily.
Chromium Picolinate – Take 200-1000 mcg per day to support fat metabolism."
Obstructed Nasal Passage,"Saline Nasal Spray

Dose to Take: Use 1-2 sprays per nostril several times daily.
Alternate Medicines:
Steam Inhalation – Inhale steam from a bowl of hot water to clear the nasal passage.
Nasal Decongestant (Afrin) – Use 1-2 sprays per nostril for up to 3 days.","Neti Pot

Dose to Take: Use with a saline solution to irrigate the nasal passages 1-2 times daily.
Alternate Medicines:
Warm Compress – Apply to the nose and sinus area to relieve congestion.
Mentholated Salve – Apply around the nostrils for easier breathing.","Fluticasone Propionate (Flonase)

Dose to Take: 1-2 sprays in each nostril daily.
Alternate Medicines:
Corticosteroid Nasal Spray – Use daily as prescribed for chronic nasal congestion.
Antihistamines (Zyrtec, Claritin) – Take 1 tablet per day for allergic congestion.","Eucalyptus Oil (Inhalation)

Dose to Take: Add a few drops to hot water and inhale the steam.
Alternate Medicines:
Peppermint Oil – Use a few drops in a steam inhalation.
Hydration – Drink plenty of fluids to keep mucus thin and easier to expel."
Oily Hair,"Dry Shampoo

Dose to Take: Spray or sprinkle onto roots and brush through.
Alternate Medicines:
Tea Tree Oil Shampoo – Use 2-3 times per week to reduce oil.
Apple Cider Vinegar Rinse – Dilute 1 tablespoon in water and rinse hair after shampooing","Clarifying Shampoo

Dose to Take: Use once or twice a week to remove excess oil buildup.
Alternate Medicines:
Aloe Vera Gel – Use a small amount as a natural hair mask to control oil.
Baking Soda – Mix with water to form a paste, apply to hair, and rinse thoroughly.","Sulfate-Free Shampoo

Dose to Take: Use daily or every other day for gentle oil control.
Alternate Medicines:
Lemon Juice – Rinse hair with lemon juice to balance oil production.
Witch Hazel – Apply to the scalp to reduce oil.","Witch Hazel

Dose to Take: Apply to the scalp using a cotton ball to absorb excess oil.
Alternate Medicines:
Aloe Vera – Apply a small amount to the scalp to soothe and control oil.
Coconut Oil (small amounts) – Massage into the scalp to regulate oil production."
Oily Scalp,"Tea Tree Oil Shampoo

Dose to Take: Use 2-3 times a week to control oil and prevent dandruff.
Alternate Medicines:
Salicylic Acid Shampoo – Use to break down excess oil and flakes.
Witch Hazel – Apply to the scalp to reduce oiliness.","Clarifying Shampoo

Dose to Take: Use once or twice a week to remove excess oil and product buildup.
Alternate Medicines:
Apple Cider Vinegar Rinse – Dilute 1 tablespoon in water and use as a final rinse.
Lemon Juice – Use as a rinse to balance oil production.","Aloe Vera Gel

Dose to Take: Apply to the scalp for 15-20 minutes before washing hair.
Alternate Medicines:
Baking Soda – Make a paste and apply to the scalp to reduce oil.
Coconut Oil (small amounts) – Use sparingly to hydrate and balance oil production.","Sulfate-Free Shampoo

Dose to Take: Use daily or every other day to maintain a healthy scalp and control oil.
Alternate Medicines:
Dry Shampoo – Use between washes to absorb excess oil.
Mint Oil – Add a few drops to your shampoo to invigorate and control oil."
